,country,confederation,population_share,tv_audience_share,gdp_weighted_share
129,Palau,OFC,0.0,0.0,0.0
130,Palestine,AFC,0.1,0.1,0.0
131,Panama,CONCACAF,0.1,0.1,0.1
132,Papua New Guinea,OFC,0.1,0.1,0.0
133,Paraguay,CONMEBOL,0.1,0.2,0.1
134,Peru,CONMEBOL,0.4,0.8,0.4
135,Philippines,AFC,1.4,0.1,0.0
136,Poland,UEFA,0.6,1.2,1.3
137,Portugal,UEFA,0.2,0.4,0.5
138,Qatar,AFC,0.0,0.0,0.2
139,Romania,UEFA,0.3,0.7,0.6
140,Russia,UEFA,2.1,3.1,3.5
141,Rwanda,CAF,0.2,0.0,0.0
142,Samoa,OFC,0.0,0.0,0.0
143,Saudi Arabia,AFC,0.4,0.5,1.2
144,Senegal,CAF,0.2,0.2,0.0
145,Serbia,UEFA,0.1,0.3,0.2
146,Seychelles,CAF,0.0,0.0,0.0
147,Sierra Leone,CAF,0.1,0.0,0.0
148,Singapore,AFC,0.1,0.2,0.6
149,Slovakia,UEFA,0.1,0.2,0.3
150,Slovenia,UEFA,0.0,0.1,0.1
151,Solomon Islands,OFC,0.0,0.0,0.0
152,Somalia,CAF,0.1,0.0,0.0
153,South Africa,CAF,0.7,1.3,0.8
154,South Korea,AFC,0.7,1.8,3.0
155,Spain,UEFA,0.7,1.8,3.1
156,Sri Lanka,AFC,0.3,0.1,0.0
157,St. Kitts,CONCACAF,0.0,0.0,0.0
158,St. Lucia,CONCACAF,0.0,0.0,0.0
159,St. Maarten,CONCACAF,0.0,0.0,0.0
160,St. Vincent,CONCACAF,0.0,0.0,0.0
161,Sudan,CAF,0.5,0.1,0.0
162,Suriname,CONCACAF,0.0,0.0,0.0
163,Swaziland,CAF,0.0,0.0,0.0
164,Sweden,UEFA,0.1,0.3,0.7
165,Switzerland,UEFA,0.1,0.3,0.7
166,Syria,AFC,0.3,0.3,0.1
167,Taiwan,AFC,0.3,0.5,1.0
168,Tajikistan,AFC,0.1,0.1,0.0
169,Tanzania,CAF,0.7,0.1,0.0
170,Thailand,AFC,1.0,2.4,1.6
171,Timor,AFC,0.0,0.0,0.0
172,Togo,CAF,0.1,0.0,0.0
173,Tonga,OFC,0.0,0.0,0.0
174,Trinidad &Tobago,CONCACAF,0.0,0.0,0.0
175,Tunisia,AFC,0.2,0.0,0.0
176,Turkey,UEFA,1.1,2.3,2.0
177,Turkmenistan,AFC,0.1,0.1,0.1
178,Turks & Caicos,CONCACAF,0.0,0.0,0.0
179,Uganda,CAF,0.5,0.2,0.0
180,Ukraine,UEFA,0.7,0.9,0.4
181,United Kingdom,UEFA,0.9,2.1,4.2
182,United States,CONCACAF,4.5,4.3,11.3
183,Uruguay,CONMEBOL,0.0,0.1,0.1
184,Uzbekistan,AFC,0.4,0.5,0.1
185,Vanuatu,OFC,0.0,0.0,0.0
186,Venezuela,CONMEBOL,0.4,1.0,0.9
187,Vietnam,AFC,1.3,2.6,0.6
188,Yemen,CAF,0.3,0.4,0.1
189,Zambia,CAF,0.2,0.1,0.0
190,Zimbabwe,CAF,0.2,0.1,0.0
