,id,name,year,city,type,status
179,386300,Marquette University,2024,Milwaukee,PRI,Active
180,389500,University of Wisconsin,2024,Madison,PUB,Active
181,393200,University of Wyoming,2024,Laramie,PUB,Active
182,393600,Pontifical Catholic University of P.R.,2024,Ponce,PRI,Active
183,394200,University of Puerto Rico,2024,San Juan,PUB,Active
184,394700,"UC College of the Law, San Francisco",2024,San Francisco,PUB,Active
185,396900,University of Minnesota,2024,Minneapolis,PUB,Active
186,425090,Inter American University of Puerto Rico,2024,San Juan,PRI,Active
187,497700,South Texas College of Law,2024,Houston,PRI,Active
188,891600,New England Law | Boston,2024,Boston,PRI,Active
189,927500,Northern Kentucky University,2024,Highland Heights,PUB,Active
190,963500,Florida International University,2024,Miami,PUB,Active
191,1014205,Touro University,2024,Central Islip,PRI,Active
192,1014913,Pepperdine University,2024,Malibu,PRI,Active
193,1039501,University of San Diego,2024,San Diego,PRI,Active
194,1085400,Thomas Jefferson School of Law,2024,San Diego,PRI,InActive
195,1164901,Loyola Marymount University-Los Angeles,2024,Los Angeles,PRI,Active
196,1193400,Vermont Law School,2024,South Royalton,PRI,Active
197,1262700,Thomas M. Cooley Law School,2024,Lansing,PRI,Active
198,1310300,California Western School of Law,2024,San Diego,PRI,Active
199,2053000,Liberty University,2024,Lynchburg,PRI,Active
200,2179937,Western State College of Law,2024,Irvine,PRI,Active
201,3091300,Regent University,2024,Virginia Beach,PRI,Active
202,3173300,Atlanta's John Marshall Law School,2024,Atlanta,PRI,Active
203,3191300,City University of New York,2024,Long Island City,PUB,Active
204,3374300,Florida Coastal School of Law,2024,Jacksonville,PRI,InActive
205,3559300,Appalachian School of Law,2024,Grundy,PRI,Active
206,3691400,Ave Maria School of Law,2024,Naples,PRI,Active
207,4096300,Charleston School of Law,2024,Charleston,PRI,Active
208,4131400,Arizona Summit Law School,2024,Phoenix,PRI,InActive
209,4143500,Charlotte School of Law,2024,Charlotte,PRI,InActive
210,4242101,UNT Dallas College Of Law,2024,Dallas,PUB,Active
